run_ts,treated,estimator,spec,beta,pct_change,delta_logn,n_obs,n_controls,note,n_placebo,placebo_sd,placebo_mean,placebo_lo,placebo_hi,z,rank,rank_of,p_two_sided,p_floor,source,panel_start,panel_end,pretrend_lag_months
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_weekly,pretrend_-12mo,0.1470800299908034,0.15844666979647504,,308.0,,,13.0,0.22982778915049515,0.026804518989100832,-0.24966336356524463,0.4933906156172801,0.5233288430710358,7.0,14.0,,,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_resid,pooled,0.5946678782885685,0.8124288980018053,0.2650013252109874,752.0,13.0,,13.0,0.08317439653151351,0.0017097877557926539,-0.10830446268389755,0.1400210980558074,7.129093991179281,1.0,14.0,0.07142857142857142,0.07142857142857142,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_resid,annual_2023,0.9741587046234909,1.648937734221398,,,,partial year (post months only),,,,,,,,,,,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_resid,annual_2024,0.3514668502533382,0.42115063560126176,,,,,,,,,,,,,,,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_resid,annual_2025,0.5822605852227587,0.7900804898220839,,,,,,,,,,,,,,,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_resid,annual_2026,0.4641716885197431,0.5906960512473485,,,,,,,,,,,,,,,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_resid,pretrend_-12mo,0.11564687071412713,0.12259937941360577,,308.0,,,13.0,0.24048724673401234,0.0050328225181639225,-0.3086914823644391,0.40400962072142876,0.4599580630498314,8.0,14.0,,,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_raw,pooled,0.45487183235239737,0.5759713815445782,0.20624821590538836,752.0,13.0,,13.0,0.10108870946883146,-1.1584335990816212e-05,-0.20501153758841625,0.10489390317317394,4.499843939828332,1.0,14.0,0.07142857142857142,0.07142857142857142,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_raw,annual_2023,0.881076988742577,1.413497616969602,,,,partial year (post months only),,,,,,,,,,,postgres,2022-01-01,2026-07-01,12
2026-08-27 18:56:48.595792,Bab el-Mandeb Strait,D_raw,annual_2024,0.23111288420448461,0.2600014656846359,,,,,,,,,,,,,,,postgres,2022-01-01,2026-07-01,12
